Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,48.7659,12.1957,Germany,2,PV,operating,2020,,Western Europe,Europe,L821997,G825023,3.173
3/16/2023,49.059,10.8905,Germany,6.1,PV,operating,2021,,Western Europe,Europe,L821998,G825024,3.16
3/16/2023,48.8244,12.7416,Germany,1,PV,operating,2005,,Western Europe,Europe,L821999,G825025,3.208
3/16/2023,48.4625,13.3786,Germany,1.5,PV,operating,2012,,Western Europe,Europe,L822000,G825026,3.18
3/16/2023,52.8745,8.7869,Germany,1.3,PV,operating,2012,,Western Europe,Europe,L822001,G825027,2.845
3/16/2023,48.5669,11.8318,Germany,2.4,PV,operating,2022,,Western Europe,Europe,L822002,G825028,3.196
3/16/2023,48.5669,11.8318,Germany,4.1,PV,operating,2022,,Western Europe,Europe,L822003,G825029,3.196
3/16/2023,53.605,14.0492,Germany,2.2,PV,operating,2011,,Western Europe,Europe,L822004,G825030,2.855
3/16/2023,53.9156,13.2275,Germany,7.7,PV,operating,2011,,Western Europe,Europe,L822005,G825031,2.927
3/16/2023,53.9156,13.2275,Germany,3.5,PV,operating,2011,,Western Europe,Europe,L822005,G825032,2.927
3/16/2023,53.9156,13.2275,Germany,1.5,PV,operating,2011,,Western Europe,Europe,L822005,G825033,2.927
3/16/2023,53.9156,13.2275,Germany,3.1,PV,operating,2011,,Western Europe,Europe,L822005,G825034,2.927
3/16/2023,53.9156,13.2275,Germany,1.6,PV,operating,2011,,Western Europe,Europe,L822005,G825035,2.927
3/16/2023,53.5213,13.5608,Germany,4.8,PV,operating,2020,,Western Europe,Europe,L822006,G825036,2.954
3/16/2023,51.8155,14.0198,Germany,2,PV,operating,2015,,Western Europe,Europe,L822007,G825037,2.995
3/16/2023,48.4933,12.0715,Germany,3,PV,operating,2021,,Western Europe,Europe,L822008,G825038,3.177
3/16/2023,49.6121,11.7755,Germany,4,PV,operating,2021,,Western Europe,Europe,L822009,G825039,3.019
3/16/2023,49.61,11.7763,Germany,5,PV,operating,2021,,Western Europe,Europe,L822010,G825040,3.019
3/16/2023,49.6107,11.7783,Germany,10.8,PV,operating,2022,,Western Europe,Europe,L822010,G825041,3.019
3/16/2023,52.3143,8.3445,Germany,1.4,PV,operating,2016,,Western Europe,Europe,L822011,G825042,2.815
3/16/2023,48.4862,12.0831,Germany,1.4,PV,operating,2020,,Western Europe,Europe,L822012,G825043,3.189
3/16/2023,49.5256,12.1504,Germany,7,PV,operating,2022,,Western Europe,Europe,L822013,G825044,3.011
3/16/2023,51.8799,11.1638,Germany,1.2,PV,operating,2014,,Western Europe,Europe,L822014,G825045,2.996
3/16/2023,54.0455,13.7559,Germany,1.1,PV,operating,2015,,Western Europe,Europe,L822015,G825046,2.955
3/16/2023,48.6657,10.6122,Germany,2,PV,operating,2010,,Western Europe,Europe,L822016,G825047,3.156
3/16/2023,52.2971,10.3029,Germany,2.3,PV,operating,2016,,Western Europe,Europe,L822017,G825048,2.916
3/16/2023,49.8288,8.132,Germany,2.1,PV,operating,2008,,Western Europe,Europe,L822018,G825049,3.151
3/16/2023,50.705,12.4891,Germany,1.5,PV,operating,2011,,Western Europe,Europe,L822019,G825050,3.023
3/16/2023,53.4999,11.4571,Germany,2.3,PV,operating,2012,,Western Europe,Europe,L822020,G825051,2.849
3/16/2023,48.3463,9.867,Germany,3,PV,operating,2010,,Western Europe,Europe,L822021,G825052,3.171
