Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
6/20/2023,10.78003124,-74.71812714,Colombia,7,onshore,pre-construction,2024,,Latin America and the Caribbean,South America,L921877,G927179,65.6238
6/20/2023,6.4098,-74.7568,Colombia,8,onshore,construction,,,Latin America and the Caribbean,South America,L905310,G907039,25.730135
6/20/2023,11.3784,-72.2419,Colombia,9.9,onshore,pre-construction,2024,,Latin America and the Caribbean,South America,L916562,G920582,258.43695
6/20/2023,11.3784,-72.2419,Colombia,9.9,onshore,pre-construction,2024,,Latin America and the Caribbean,South America,L916563,G920583,258.43695
6/20/2023,11.3784,-72.2419,Colombia,9.9,onshore,pre-construction,2024,,Latin America and the Caribbean,South America,L916565,G920585,258.43695
6/24/2022,10.7909,-75.2581,Colombia,9.9,onshore,operating,2020,,Latin America and the Caribbean,South America,L905435,G920587,447.64276
8/3/2022,10.507,-84.9667,Costa Rica,6.8,onshore,operating,1998,,Latin America and the Caribbean,South America,L916580,G920602,2061.8237
8/3/2022,10.5234,-85.2532,Costa Rica,9,onshore,operating,2019,,Latin America and the Caribbean,South America,L916581,G920603,402.51495
8/3/2022,21.1194,-76.1374,Cuba,5.1,onshore,operating,2008,,Latin America and the Caribbean,South America,L905536,G920604,313.71283
8/3/2022,21.1194,-76.1374,Cuba,4.5,onshore,operating,2010,,Latin America and the Caribbean,South America,L905536,G920605,313.71283
8/3/2022,21.7216,-82.7634,Cuba,1.6,onshore,operating,2007,,Latin America and the Caribbean,South America,L916582,G920606,190.65736
6/20/2023,17.88415501,-71.27047172,Dominican Republic,1.8,onshore,operating,,,Latin America and the Caribbean,South America,L905163,G906720,307.58218
6/20/2023,17.88415501,-71.27047172,Dominican Republic,8.25,onshore,operating,,,Latin America and the Caribbean,South America,L905163,G927191,307.58218
8/3/2022,19.6264,-69.9035,Dominican Republic,8.2,onshore,operating,2011,,Latin America and the Caribbean,South America,L916589,G920613,197.42636
9/12/2022,33.036,-103.855,United States,5,onshore,operating,2014,,Northern America,North America,L906344,G908609,530.5467
9/6/2022,38.288694,26.377833,Türkiye,7.2,onshore,operating,,,Western Asia,Asia,L921439,G926397,454.87064
10/9/2023,37.0323,27.7087,Türkiye,9,onshore,pre-construction,,,Western Asia,Asia,L921440,G926399,404.438
9/14/2022,38.8128,26.9073,Türkiye,9.6,onshore,operating,2014,,Western Asia,Asia,L921443,G926402,726.9301
10/18/2022,38.8128,26.9073,Türkiye,9.6,onshore,operating,2016,,Western Asia,Asia,L921443,G926403,726.9301
9/14/2022,38.0846,32.0164,Türkiye,3.5,onshore,operating,,,Western Asia,Asia,L921445,G926406,437.61862
9/6/2022,36.4864,36.1891,Türkiye,6,onshore,operating,,,Western Asia,Asia,L921475,G926445,354.68045
9/6/2022,38.2392,26.7308,Türkiye,7.5,onshore,operating,,,Western Asia,Asia,L921505,G926483,564.12213
9/6/2022,38.1551,30.1354,Türkiye,8.25,onshore,operating,,,Western Asia,Asia,L921511,G926494,432.7393
9/6/2022,39.0416,27.0291,Türkiye,5.5,onshore,operating,,,Western Asia,Asia,L921514,G926499,658.8281
9/6/2022,39.0416,27.0291,Türkiye,5.5,onshore,operating,,,Western Asia,Asia,L921514,G926500,658.8281
10/9/2023,38.4538,26.5661,Türkiye,2.25,onshore,pre-construction,,,Western Asia,Asia,L921521,G926510,696.08466
9/6/2022,40.7216,26.1968,Türkiye,6.6,onshore,operating,,,Western Asia,Asia,L921522,G926512,648.89276
10/9/2023,41.3959,28.1292,Türkiye,4.2,onshore,pre-construction,,,Western Asia,Asia,L921525,G926515,245.6336
9/14/2022,41.6595,35.0044,Türkiye,5.1,onshore,operating,,,Western Asia,Asia,L921530,G926520,429.14987
9/14/2022,41.1338,34.6226,Türkiye,1.2,onshore,operating,,,Western Asia,Asia,L921550,G926545,73.51384
9/6/2022,40.2024,29.1343,Türkiye,9.6,onshore,operating,,,Western Asia,Asia,L921555,G926551,174.37622
9/6/2022,39.9731,28.0093,Türkiye,8.25,onshore,operating,,,Western Asia,Asia,L921560,G926557,584.24445
9/6/2022,40.4958,27.7021,Türkiye,4,onshore,operating,,,Western Asia,Asia,L921580,G926585,515.93134
9/6/2022,39.9553,28.0529,Türkiye,2.3,onshore,operating,,,Western Asia,Asia,L921598,G926610,735.6136
9/6/2022,39.9553,28.0529,Türkiye,6.9,onshore,operating,,,Western Asia,Asia,L921598,G926611,735.6136
9/6/2022,38.2878,26.5884,Türkiye,7.5,onshore,operating,,,Western Asia,Asia,L921612,G926628,475.5583
9/1/2022,39.3081,27.935,Türkiye,1.8,onshore,operating,,,Western Asia,Asia,L921623,G926642,471.33606
9/6/2022,38.4758,26.5815,Türkiye,9.6,onshore,operating,,,Western Asia,Asia,L921660,G926683,259.6681
9/6/2022,36.0534,36.1307,Türkiye,9,onshore,operating,,,Western Asia,Asia,L921686,G926720,600.39655
9/7/2022,38.8943,27.1737,Türkiye,5.5,onshore,operating,,,Western Asia,Asia,L921689,G926724,948.3659
9/7/2022,38.8943,27.1737,Türkiye,6,onshore,operating,,,Western Asia,Asia,L921689,G926725,948.3659
9/6/2022,41.1304,28.6199,Türkiye,1.2,onshore,operating,,,Western Asia,Asia,L921702,G926749,370.42294
9/6/2022,41.0556,28.4436,Türkiye,5.85,onshore,operating,,,Western Asia,Asia,L921708,G926759,558.00745
9/6/2022,39.3359,26.9598,Türkiye,7.5,onshore,operating,,,Western Asia,Asia,L921713,G926766,939.6456
9/9/2022,38.9468,27.188,Türkiye,2.5,onshore,operating,,,Western Asia,Asia,L921739,G926797,741.0076
9/6/2022,36.1055,36.0461,Türkiye,7.5,onshore,operating,,,Western Asia,Asia,L921743,G926804,463.91745
11/6/2023,24.4667,120.6504,China,5,onshore,operating,2015,,Eastern Asia,Asia,L901066,G927784,844.95514
11/6/2023,24.10630649,120.398353,China,9,onshore,operating,2019,,Eastern Asia,Asia,L901073,G927785,810.6741
11/7/2023,24.67694631,120.8373001,China,8,onshore,operating,2006,,Eastern Asia,Asia,L922284,G927790,755.18866
11/7/2023,24.71953935,120.8647931,China,7,onshore,operating,2011,,Eastern Asia,Asia,L922284,G927791,799.6756
11/8/2023,24.12575429,120.4261042,China,7,onshore,operating,2020,,Eastern Asia,Asia,L922293,G927802,776.3634
3/23/2023,46.4287,1.7271,France,9,onshore,announced,,,Western Europe,Europe,L919538,G924043,413.47256
3/16/2023,49.1969,6.5831,France,7.5,onshore,operating,2017,,Western Europe,Europe,L919599,G924110,476.02
2/27/2023,48.5223,-3.2587,France,7.5,onshore,announced,,,Western Europe,Europe,L919606,G924117,586.8572
1/24/2023,49.6474,2.9167,France,8,onshore,operating,,,Western Europe,Europe,L919633,G924144,346.64917
2/2/2023,50.0734,3.3932,France,9,onshore,announced,2024,,Western Europe,Europe,L919712,G924227,436.04202
2/2/2023,45.6296,4.7448,France,9.6,onshore,announced,2026,,Western Europe,Europe,L919757,G924275,548.33484
2/21/2023,48.546,-3.332,France,9,onshore,announced,,,Western Europe,Europe,L919790,G924309,601.72955
