Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
2/13/2023,44.8476,9.6665,Italy,152.7,PV,operating,,,Southern Europe,Europe,L823575,G826641,3.829
2/13/2023,43.7159,10.4019,Italy,83.6,PV,operating,,,Southern Europe,Europe,L823601,G826667,3.979
2/13/2023,43.9741,10.8687,Italy,41.3,PV,operating,,,Southern Europe,Europe,L823603,G826669,3.707
2/13/2023,45.9563,12.6597,Italy,130.6,PV,operating,,,Southern Europe,Europe,L823634,G826700,3.716
2/13/2023,40.5183,15.821,Italy,169,PV,operating,,,Southern Europe,Europe,L823638,G826704,3.995
2/13/2023,43.9357,11.0942,Italy,74.9,PV,operating,,,Southern Europe,Europe,L823645,G826711,3.755
2/13/2023,36.922,14.7214,Italy,122.5,PV,operating,,,Southern Europe,Europe,L823659,G826725,4.469
2/13/2023,44.3641,12.059,Italy,243.6,PV,operating,,,Southern Europe,Europe,L823664,G826730,3.83
2/13/2023,38.1035,15.6398,Italy,63.7,PV,operating,,,Southern Europe,Europe,L823671,G826737,4.23
2/13/2023,44.6087,10.5948,Italy,165.1,PV,operating,,,Southern Europe,Europe,L823672,G826738,3.812
2/13/2023,42.4147,12.8859,Italy,22.8,PV,operating,,,Southern Europe,Europe,L823680,G826746,4.094
2/13/2023,43.9471,12.6308,Italy,82.2,PV,operating,,,Southern Europe,Europe,L823682,G826748,3.83
2/13/2023,41.8933,12.4829,Italy,302.9,PV,operating,,,Southern Europe,Europe,L823692,G826758,4.161
2/13/2023,44.9772,12.2742,Italy,125.6,PV,operating,,,Southern Europe,Europe,L823713,G826779,3.815
2/13/2023,40.4194,15.3108,Italy,170.3,PV,operating,,,Southern Europe,Europe,L823725,G826791,4.027
2/13/2023,40.7233,8.561,Italy,118.3,PV,operating,,,Southern Europe,Europe,L823790,G826856,4.203
2/13/2023,44.2334,8.2526,Italy,28.4,PV,operating,,,Southern Europe,Europe,L823795,G826861,3.592
2/13/2023,43.1672,11.4672,Italy,72.5,PV,operating,,,Southern Europe,Europe,L823821,G826887,3.963
2/13/2023,37.0646,15.2907,Italy,147.6,PV,operating,,,Southern Europe,Europe,L823826,G826892,4.459
2/13/2023,46.3234,10.2584,Italy,51.6,PV,operating,,,Southern Europe,Europe,L823834,G826900,3.633
2/13/2023,40.7801,8.5258,Italy,102.5,PV,operating,,,Southern Europe,Europe,L823854,G826920,4.224
2/13/2023,40.5488,17.0806,Italy,240.4,PV,operating,,,Southern Europe,Europe,L823858,G826924,4.175
2/13/2023,42.6581,13.6979,Italy,193.5,PV,operating,,,Southern Europe,Europe,L823865,G826931,3.835
2/13/2023,42.654,12.4397,Italy,105.8,PV,operating,,,Southern Europe,Europe,L823869,G826935,4.1
2/13/2023,45.0678,7.6825,Italy,372,PV,operating,,,Southern Europe,Europe,L823886,G826952,3.839
2/13/2023,38.0174,12.516,Italy,92,PV,operating,,,Southern Europe,Europe,L823908,G826974,4.388
2/13/2023,46.103,11.1297,Italy,177.3,PV,operating,,,Southern Europe,Europe,L823923,G826989,3.702
2/13/2023,45.8067,12.2063,Italy,340.8,PV,operating,,,Southern Europe,Europe,L823927,G826993,3.741
2/13/2023,45.6497,13.7773,Italy,19.5,PV,operating,,,Southern Europe,Europe,L823928,G826994,3.688
